               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.026583,           0.0087689,           0.0056748,             0.94955,             0.98288,             0.99444,             0.49865,            0.026151,           0.0038448,           0.0035351,           0.0082576,           0.0082576,           0.0082576
                  90,            0.031842,           0.0082609,            0.013144,             0.94518,             0.99287,             0.99444,             0.77369,            0.011442,           0.0032872,           0.0032202,           0.0082378,           0.0082378,           0.0082378
                  91,            0.022302,           0.0073795,           0.0094226,             0.95913,             0.92647,             0.97749,             0.71944,             0.02037,           0.0036916,           0.0027714,            0.008218,            0.008218,            0.008218
                  92,             0.02547,           0.0092624,           0.0060436,             0.92545,             0.95072,             0.98689,             0.63456,            0.016414,           0.0041305,           0.0025188,           0.0081982,           0.0081982,           0.0081982
                  93,            0.028817,           0.0088125,           0.0061361,             0.92351,             0.97059,             0.98498,             0.61035,            0.021436,           0.0042627,            0.003241,           0.0081784,           0.0081784,           0.0081784
                  94,            0.026402,           0.0083307,           0.0076666,             0.96154,             0.86641,             0.97627,             0.71264,            0.016022,           0.0043617,           0.0025307,           0.0081586,           0.0081586,           0.0081586
                  95,            0.027609,           0.0092275,            0.008208,              0.9806,             0.98793,               0.995,             0.69157,            0.016758,           0.0035172,           0.0016121,           0.0081388,           0.0081388,           0.0081388
                  96,            0.026482,            0.010296,           0.0060935,             0.98982,             0.99796,               0.995,             0.77324,            0.013872,           0.0034247,            0.001225,            0.008119,            0.008119,            0.008119
                  97,            0.026927,           0.0086983,            0.008177,              0.9908,             0.98529,             0.99444,             0.62878,            0.018415,           0.0035068,           0.0010983,           0.0080992,           0.0080992,           0.0080992
                  98,             0.02782,           0.0086867,           0.0059849,             0.99438,                   1,               0.995,             0.76547,             0.01213,           0.0033318,           0.0011545,           0.0080794,           0.0080794,           0.0080794
                  99,            0.027262,           0.0083167,           0.0074471,             0.99594,                   1,               0.995,             0.64607,            0.017051,           0.0035811,           0.0011835,           0.0080596,           0.0080596,           0.0080596
                 100,            0.023055,           0.0077636,           0.0070619,             0.99645,                   1,               0.995,             0.71239,            0.011727,           0.0033378,           0.0012843,           0.0080398,           0.0080398,           0.0080398
                 101,            0.027163,           0.0091383,           0.0040701,             0.99689,                   1,               0.995,             0.68694,            0.015668,           0.0035842,            0.001395,             0.00802,             0.00802,             0.00802
                 102,            0.024274,           0.0083183,           0.0066965,             0.99701,                   1,               0.995,             0.65959,            0.015049,            0.003572,           0.0014247,           0.0080002,           0.0080002,           0.0080002
                 103,             0.02544,           0.0087016,           0.0076988,             0.99688,                   1,               0.995,             0.81911,             0.01277,           0.0036356,           0.0013662,           0.0079804,           0.0079804,           0.0079804
                 104,            0.022992,           0.0074396,           0.0050145,             0.99596,                   1,               0.995,             0.60532,            0.013416,           0.0035644,           0.0013319,           0.0079606,           0.0079606,           0.0079606
                 105,            0.027845,           0.0084603,            0.011146,             0.99692,                   1,               0.995,             0.79871,            0.012617,            0.003496,           0.0013036,           0.0079408,           0.0079408,           0.0079408
                 106,            0.024099,           0.0082476,           0.0037611,             0.99655,                   1,               0.995,             0.59607,            0.016194,           0.0035604,           0.0012228,            0.007921,            0.007921,            0.007921
                 107,            0.026871,           0.0085487,            0.011197,              0.9939,                   1,               0.995,             0.79099,            0.011745,           0.0033566,           0.0012481,           0.0079012,           0.0079012,           0.0079012
                 108,            0.022957,           0.0087207,           0.0061393,             0.99473,                   1,               0.995,             0.73088,            0.013389,           0.0033403,           0.0011787,           0.0078814,           0.0078814,           0.0078814
                 109,            0.029102,           0.0080908,            0.010362,             0.98755,             0.99668,               0.995,             0.75251,            0.011932,           0.0032879,           0.0013172,           0.0078616,           0.0078616,           0.0078616
                 110,            0.024144,           0.0074274,            0.010095,             0.76654,             0.99562,             0.92414,             0.54678,            0.018705,           0.0037692,            0.001385,           0.0078418,           0.0078418,           0.0078418
                 111,              0.0284,           0.0076064,           0.0057055,             0.99707,                   1,               0.995,             0.71181,            0.011724,           0.0032836,           0.0012353,            0.007822,            0.007822,            0.007822
                 112,            0.023497,           0.0091253,            0.010687,             0.99702,                   1,               0.995,             0.75007,            0.015411,           0.0036207,           0.0012343,           0.0078022,           0.0078022,           0.0078022
                 113,             0.02558,           0.0083201,            0.008371,             0.99764,                   1,               0.995,             0.85553,             0.01071,           0.0032147,           0.0011208,           0.0077824,           0.0077824,           0.0077824
                 114,            0.024833,           0.0095224,           0.0064925,             0.99662,                   1,               0.995,             0.74131,            0.013742,           0.0035578,           0.0010298,           0.0077626,           0.0077626,           0.0077626
                 115,            0.024479,           0.0091851,           0.0064265,             0.98681,             0.98642,               0.995,             0.77341,            0.012144,            0.003311,           0.0017111,           0.0077428,           0.0077428,           0.0077428
                 116,            0.023328,           0.0079963,           0.0056128,             0.98255,             0.98606,               0.995,             0.68444,            0.016775,           0.0038995,           0.0018548,            0.007723,            0.007723,            0.007723
                 117,             0.02771,           0.0090129,           0.0066492,               0.991,             0.98556,               0.995,             0.83111,           0.0096652,           0.0035459,           0.0016833,           0.0077032,           0.0077032,           0.0077032
                 118,            0.021948,           0.0074121,            0.009768,             0.99556,             0.98665,               0.995,              0.7075,            0.016412,           0.0036062,           0.0013691,           0.0076834,           0.0076834,           0.0076834
                 119,            0.026505,           0.0085994,           0.0073206,             0.99127,             0.99811,               0.995,             0.90868,            0.010389,           0.0032171,           0.0010273,           0.0076636,           0.0076636,           0.0076636
