Frame Number,Timestamp,Vehicle ID,Vehicle BBox,Plate BBox,Plate Text,Plate Confidence,Vehicle Image Path,Plate Image Path
140,00:00:02,1,"(0, 0, 414, 222)","(141, 123, 281, 170)",BR01EZ2264,0.9033872935453887,E:/github/license_plate_detections/vehicle_image/140_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/140_1_plate_rotated.jpg
142,00:00:02,1,"(1, 0, 399, 223)","(125, 122, 266, 170)",BR01EZ2264,0.922203025408518,E:/github/license_plate_detections/vehicle_image/142_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/142_1_plate_rotated.jpg
145,00:00:02,1,"(1, 0, 373, 225)","(92, 123, 238, 172)",BR01EZ2264,0.6108542521873209,E:/github/license_plate_detections/vehicle_image/145_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/145_1_plate_rotated.jpg
146,00:00:02,1,"(1, 0, 364, 227)","(83, 122, 228, 172)",BR01EZ2264,0.8982342882169505,E:/github/license_plate_detections/vehicle_image/146_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/146_1_plate_rotated.jpg
147,00:00:02,1,"(1, 0, 354, 229)","(70, 123, 217, 173)",BR01EZ2264,0.9398617078582827,E:/github/license_plate_detections/vehicle_image/147_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/147_1_plate_rotated.jpg
148,00:00:02,1,"(1, 0, 345, 231)","(59, 123, 206, 174)",BR01EZ2264,0.726717467929621,E:/github/license_plate_detections/vehicle_image/148_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/148_1_plate_rotated.jpg
149,00:00:02,1,"(1, 0, 333, 230)","(45, 124, 195, 175)",BR01EZ2264,0.6035108469015097,E:/github/license_plate_detections/vehicle_image/149_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/149_1_plate_rotated.jpg
150,00:00:02,1,"(1, 0, 324, 231)","(36, 124, 185, 175)",BR0TEZ2264,0.46430802738622007,E:/github/license_plate_detections/vehicle_image/150_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/150_1_plate_rotated.jpg
151,00:00:02,1,"(1, 0, 315, 226)","(23, 124, 175, 175)",BR01EZ2264,0.8008891129201111,E:/github/license_plate_detections/vehicle_image/151_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/151_1_plate_rotated.jpg
151,00:00:02,2,"(383, 0, 846, 192)","(725, 82, 846, 124)",GJ06PH1816,0.5037844237116389,E:/github/license_plate_detections/vehicle_image/151_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/151_2_plate_rotated.jpg
152,00:00:02,1,"(1, 0, 306, 226)","(14, 125, 165, 176)",BR01EZ2264,0.8836147386389324,E:/github/license_plate_detections/vehicle_image/152_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/152_1_plate_rotated.jpg
152,00:00:02,2,"(376, 0, 846, 193)","(715, 81, 835, 123)",GJ06PQ1816,0.3106941544963525,E:/github/license_plate_detections/vehicle_image/152_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/152_2_plate_rotated.jpg
153,00:00:02,1,"(1, 0, 297, 225)","(2, 125, 155, 177)",BR0TEZ2264,0.7413961490011699,E:/github/license_plate_detections/vehicle_image/153_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/153_1_plate_rotated.jpg
153,00:00:02,2,"(367, 0, 846, 193)","(705, 80, 824, 123)",GJ06P81816,0.38893769552745616,E:/github/license_plate_detections/vehicle_image/153_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/153_2_plate_rotated.jpg
